type,id,name,quantity,source_group,price,material,notes,product_link,stl_link,step_link
itemized_part,,M5 x 50 bolt,10,P10,,,Y-cart rollers and upper rollers of the toolhead.,,,
itemized_part,,M5 nut,18,P10,,,On cart bottoms and roller stacks.,,,
itemized_part,,M5 washer,18,P10,,,Used with M5 roller hardware.,,,
itemized_part,,M4 x 12 bolt,2,P09,,,Secures belt clamp onto belt clamp mount.,,,
itemized_part,,M4 nut,2,P09,,,Behind belt clamp mount.,,,
itemized_part,,M4 washer,2,P09,,,Behind belt clamp.,,,
itemized_part,,M3 x 6 bolt,1,P08,,,Pencil block pencil clamp.,,,
itemized_part,,M3 x 10 bolt,10,P08,,,Stepper motors and belt clamp mount.,,,
itemized_part,,M3 x 16 bolt,9,P08,,,Servo/toolhead hardware; 8 rigidity screws are optional.,,,
itemized_part,,M3 x 25 bolt,4,P08,,,Y carts for securing upper mold. Optional.,,,
itemized_part,,M3 nut,4,P08,,,"Two embedded in belt mount, two on M3 x 16 servo mount.",,,
itemized_part,,M3 washer,18,P08,,,Small fastener washers.,,,
itemized_part,,Breadboard,1,A01,,,Easier interface for servo/MOSFET wiring.,,,
itemized_part,,Jumper wires,"about 40 M-F, about 3 M-M",A01,,,Servo power circuit and CNC shield to breadboard wiring. Mostly long male-to-female wires.,,,
itemized_part,,IRLZ44N logic-level N-channel MOSFET,1,P12,,,Switches servo ground/power to prevent boot twitch. Logic-level equivalent is okay.,,,
itemized_part,,220 ohm resistor,1,A01,,,Between D11/Z-limit signal and MOSFET gate.,,,
itemized_part,,10k ohm resistor,1,A01,,,Gate pulldown to ground.,,,
itemized_part,,External 5V power source,1,A01,,,Powers servo through breadboard rails.,,,
itemized_part,,12V bench power supply,1,A01,,,Powers the CNC shield/motors. Set current low at first during testing.,,,
itemized_part,,Pen or pencil,1,A01,,,"For pens, remove the ink cartridge and use the pen adapter.",,,
itemized_part,,Spring for pencil mount,1,A01,,,"OD less than 12mm, height around 30mm.",,,
itemized_part,,Zip tie,1,A01,,,4 inch zip tie for securing servo wire onto aligner.,,,
itemized_part,,Aluminum cutting blade,optional,P13,,,"Optional, cleaner extrusion cuts. Prefer negative-angle TCG for nonferrous aluminum.",,,
itemized_part,,Paraffin wax block,optional,P13,,,Optional cutting helper for extrusion.,,,
printed_part,,0.5 mm Spacer for Y Cart,2,,,PLA,,,exports/stl/0.5-mm-Spacer-for-Y-Cart.stl,exports/step/0.5-mm-Spacer-for-Y-Cart.step
printed_part,,1 mm Spacer for Y Cart,6,,,PLA,,,exports/stl/1-mm-Spacer-for-Y-Cart.stl,exports/step/1-mm-Spacer-for-Y-Cart.step
printed_part,,1.5 mm M+U Spacer for Corner Brackets,4,,,PLA,,,exports/stl/1.5-mm-M-U-Spacer-for-Corner-Brackets.stl,exports/step/1.5-mm-M+U-Spacer-for-Corner-Brackets.step
printed_part,,7.25 mm L Spacer for Corner Brackets,2,,,PLA,,,exports/stl/7.25-mm-L-Spacer-for-Corner-Brackets.stl,exports/step/7.25-mm-L-Spacer-for-Corner-Brackets.step
printed_part,,Back Corner Brackets,2,,,ABS,,,exports/stl/Back-Corner-Brackets.stl,exports/step/Back-Corner-Brackets.step
printed_part,,Bearing-to-Bearing Internal Roller Spacer,12,,,PLA,,,exports/stl/Bearing-to-Bearing-Internal-Roller-Spacer.stl,exports/step/Bearing-to-Bearing-Internal-Roller-Spacer.step
printed_part,,Belt Clamp Mount,1,,,ABS,,,exports/stl/Belt-Clamp-Mount.stl,exports/step/Belt-Clamp-Mount.step
printed_part,,Cart Cart Plate,2,,,ABS,,,exports/stl/Cart-Cart-Plate.stl,exports/step/Cart-Cart-Plate.step
printed_part,,Cart-to-Bearing Spacer,24,,,PLA,,,exports/stl/Cart-to-Bearing-Spacer.stl,exports/step/Cart-to-Bearing-Spacer.step
printed_part,,Gantry Extrusion Jig,1,,,PLA,,,exports/stl/Gantry-Extrusion-Jig.stl,exports/step/Gantry-Extrusion-Jig.step
printed_part,,Left Corner Bracket,1,,,ABS,,,exports/stl/Left-Corner-Bracket.stl,exports/step/Left-Corner-Bracket.step
printed_part,,Left Lower Cart Plate,1,,,ABS,,,exports/stl/Left-Lower-Cart-Plate.stl,exports/step/Left-Lower-Cart-Plate.step
printed_part,,Left Upper Cart Plate,1,,,ABS,,,exports/stl/Left-Upper-Cart-Plate.stl,exports/step/Left-Upper-Cart-Plate.step
printed_part,,Left Upper Cart Upper Mold,1,,,ABS,,,exports/stl/Left-Upper-Cart-Upper-Mold.stl,exports/step/Left-Upper-Cart-Upper-Mold.step
printed_part,,Modified Surface Roller,2,,,PLA,,,exports/stl/Modified-Surface-Roller.stl,exports/step/Modified-Surface-Roller.step
printed_part,,Pen Adapter,optional,,,PETG,,,exports/stl/Pen-Adapter.stl,exports/step/Pen-Adapter.step
printed_part,,Pencil Block,1,,,PLA,,,exports/stl/Pencil-Block.stl,exports/step/Pencil-Block.step
printed_part,,Pencil Housing,1,,,PLA,,,exports/stl/Pencil-Housing.stl,exports/step/Pencil-Housing.step
printed_part,,Pencil Housing Cap,1,,,PLA,,,exports/stl/Pencil-Housing-Cap.stl,exports/step/Pencil-Housing-Cap.step
printed_part,,Right Corner Bracket,1,,,ABS,,,exports/stl/Right-Corner-Bracket.stl,exports/step/Right-Corner-Bracket.step
printed_part,,Right Lower Cart Bottom,1,,,ABS,,,exports/stl/Right-lower-Cart-Bottom.stl,exports/step/Right-Lower-Cart-Bottom.step
printed_part,,Right Upper Cart Plate,1,,,ABS,,,exports/stl/Right-Upper-Cart-Plate.stl,exports/step/Right-Upper-Cart-Plate.step
printed_part,,Right Upper Cart Upper Mold,1,,,ABS,,,exports/stl/Right-Upper-Cart-Upper-Mold.stl,exports/step/Right-Upper-Cart-Upper-Mold.step
printed_part,,Servo Wire Aligner,1,,,PLA,,,exports/stl/Servo-Wire-Aligner.stl,exports/step/Servo-Wire-Aligner.step
printed_part,,Stepper to Drive Pulley Spacer,2,,,PLA,,,exports/stl/Stepper-to-Drive-Pulley-Spacer.stl,exports/step/Stepper-to-Drive-Pulley-Spacer.step
printed_part,,Surface Roller,10,,,ABS,,,exports/stl/Surface-Roller.stl,exports/step/Surface-Roller.step
printed_part,,Toolhead Cart Back,1,,,ABS,,,exports/stl/Toolhead-Cart-Back.stl,exports/step/Toolhead-Cart-Back.step
printed_part,,Toolhead Cart Connector,1,,,PETG,,,exports/stl/Toolhead-Cart-connector.stl,exports/step/Toolhead-Cart-Connector.step
printed_part,,Toolhead Front Cart,1,,,ABS,,,exports/stl/Toolhead-Front-Cart.stl,exports/step/Toolhead-Front-Cart.step
